School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
New Albany-Plain Local School District,"Franklin, OH","$560,000 ","$190,000 ",295%,92.13%,52,38,137%,14,9.5
Los Altos Elementary School District,"Santa Clara, CA","$2,798,000 ","$950,000 ",295%,125.00%,33,32,103%,1,9.5
Mountain View-Los Altos Union High School District,"Santa Clara, CA","$2,798,000 ","$950,000 ",295%,125.00%,33,32,103%,1,9.5
Saratoga Union Elementary School District,"Santa Clara, CA","$2,795,000 ","$950,000 ",294%,131.25%,39,32,122%,7,9
Westfield School District,"Union, NJ","$937,000 ","$319,000 ",294%,145.71%,56,59,95%,-3,8.9
Eanes Isd School District,"Travis, TX","$1,350,000 ","$460,000 ",293%,111.36%,72,45,160%,27,10
Wilmette Sd 39 School District,"Cook, IL","$780,000 ","$266,000 ",293%,83.87%,58,54,107%,4,10
Byram Hills Central School District,"Westchester, NY","$1,390,000 ","$475,000 ",293%,80.00%,72,62,116%,10,9.7
Long Beach Island School District,"Ocean, NJ","$935,000 ","$320,000 ",292%,131.58%,120,92,130%,28,6.8
Sycamore Community City School District,"Hamilton, OH","$450,000 ","$155,000 ",290%,109.52%,55,58,95%,-3,10
Rumson-Fair Haven Regiona School District,"Monmouth, NJ","$1,495,000 ","$515,000 ",290%,148.84%,66,65,102%,1,9.6
Grosse Ile Township School District,"Wayne, MI","$400,000 ","$138,000 ",290%,135.94%,66,41,161%,25,9
Hudson City School District,"Summit, OH","$369,000 ","$128,000 ",289%,183.33%,61,58,105%,3,9.5
Arcadia Unified School District,"Los Angeles, CA","$1,569,000 ","$550,000 ",285%,46.15%,48,46,104%,2,9.5
College Elementary School District,"Santa Barbara, CA","$1,750,000 ","$615,000 ",285%,34.09%,163,63,258%,100,8
Chagrin Falls Exempted Village School District,"Cuyahoga, OH","$450,000 ","$159,000 ",283%,113.95%,79,62,127%,17,9
Anthony Wayne Local School District,"Lucas, OH","$290,000 ","$103,000 ",282%,172.97%,46,59,78%,-13,10
Las Virgenes Unified School District,"Los Angeles, CA","$1,539,000 ","$550,000 ",280%,215.38%,60,46,130%,14,7.9
Lavallette Borough School District,"Ocean, NJ","$887,000 ","$320,000 ",277%,189.47%,93,92,101%,1,8
Keller Isd School District,"Denton, TX","$979,000 ","$354,000 ",277%,105.48%,61,38,161%,23,9.7
Clayton School District,"St. Louis, MO","$597,000 ","$217,000 ",275%,146.81%,51,48,106%,3,9.2
Margate City School District,"Atlantic, NJ","$549,000 ","$200,000 ",275%,109.52%,97,103,94%,-6,7.9
Unionville-Chadds Ford School District,"Delaware, PA","$630,000 ","$230,000 ",274%,119.51%,102,72,142%,30,9.8
Oldham County School District,"Jefferson, KY","$515,000 ","$189,000 ",272%,90.32%,59,47,126%,12,9.5
San Dieguito Union High School District,"San Diego, CA","$1,875,000 ","$690,000 ",272%,87.10%,52,37,141%,15,9.3
Solana Beach Elementary School District,"San Diego, CA","$1,875,000 ","$690,000 ",272%,81.45%,56,37,151%,19,9.2
Reed Union Elementary School District,"Marin, CA","$3,175,000 ","$1,175,000 ",270%,132.61%,55,37,149%,18,10
Western Springs Sd 101 School District,"Cook, IL","$712,000 ","$266,000 ",268%,122.58%,55,54,102%,1,9.9
Orange City School District,"Cuyahoga, OH","$425,000 ","$159,000 ",267%,139.53%,82,62,132%,20,9.3
Edgemont Union Free School District,"Westchester, NY","$1,269,000 ","$475,000 ",267%,108.00%,56,62,90%,-6,8
Princeton Regional School District,"Mercer, NJ","$1,295,000 ","$485,000 ",267%,107.41%,81,68,119%,13,9
Orono Public School District,"Hennepin, MN","$799,000 ","$300,000 ",266%,87.50%,80,44,182%,36,9
Quaker Valley School District,"Allegheny, PA","$490,000 ","$185,000 ",265%,111.76%,80,65,123%,15,9
Del Mar Union Elementary,"San Diego, CA","$1,824,000 ","$690,000 ",264%,106.45%,44,37,119%,7,9.5
Mount Desert School Department School District,"Hancock, ME","$872,000 ","$330,000 ",264%,102.38%,316,226,140%,90,9
Coronado Unified School District,"San Diego, CA","$1,813,000 ","$690,000 ",263%,92.74%,76,37,204%,39,9
Grosse Pointe Public School District,"Wayne, MI","$360,000 ","$138,000 ",261%,114.06%,41,41,100%,0,9.4
Westhampton Beach Union Free School District,"Suffolk, NY","$1,195,000 ","$458,000 ",261%,56.25%,47,68,69%,-21,8
Carpinteria Unified School District,"Santa Barbara, CA","$1,595,000 ","$615,000 ",259%,93.18%,61,63,97%,-2,6
Edina Public School District,"Hennepin, MN","$775,000 ","$300,000 ",258%,75.00%,48,44,109%,4,9.6
Kirtland Local School District,"Lake, OH","$400,000 ","$155,000 ",258%,112.77%,72,58,123%,14,8.7
Town Of Webb Union Free School District,"Herkimer, NY","$322,000 ","$125,000 ",258%,129.17%,119,107,111%,12,8
Williamsfield Cusd 210 School District,"Knox, IL","$250,000 ","$97,000 ",257%,48.61%,101,64,157%,37,6
Alamo Heights Isd School District,"Bexar, TX","$591,000 ","$230,000 ",257%,130.19%,68,52,131%,16,8.1
New Shoreham School District,"Washington, RI","$1,150,000 ","$450,000 ",256%,61.90%,333,59,564%,274,9
Los Gatos-Saratoga Joint Union High School District,"Santa Clara, CA","$2,400,000 ","$950,000 ",253%,131.25%,40,32,125%,8,9.1
Colts Neck Township School District,"Monmouth, NJ","$1,299,000 ","$515,000 ",252%,100.00%,70,65,107%,5,8
Lexington School District,"Middlesex, MA","$1,398,000 ","$556,000 ",251%,64.75%,37,37,100%,0,9.9
Jericho Union Free School District,"Nassau, NY","$1,500,000 ","$599,000 ",250%,65.00%,70,66,106%,4,8.9
Tanque Verde Unified District School District,"Pima, AZ","$525,000 ","$210,000 ",250%,105.88%,107,65,165%,42,9.6
Point Pleasant Beach School District,"Ocean, NJ","$799,000 ","$320,000 ",250%,173.68%,92,92,100%,0,8
Bellevue School District,"King, WA","$1,550,000 ","$625,000 ",248%,100.00%,23,20,112%,3,8.1
Mamaroneck Union Free School District,"Westchester, NY","$1,175,000 ","$475,000 ",247%,112.00%,61,63,98%,-2,8
Hoboken School District,"Hudson, NJ","$915,000 ","$370,000 ",247%,121.15%,29,58,50%,-29,2
Cave Creek Unified District School District,"Maricopa, AZ","$800,000 ","$324,000 ",247%,42.86%,124,54,230%,70,9.2
Newport-Mesa Unified School District,"Orange, CA","$1,795,000 ","$729,000 ",246%,108.70%,58,42,138%,16,8.4
Guilderland Central School District,"Schenectady, NY","$344,000 ","$140,000 ",246%,187.50%,80,82,98%,-2,8.9
Vestavia Hills City School District,"Shelby, AL","$612,000 ","$249,000 ",246%,75.86%,79,61,130%,18,10
Glenview Ccsd 34 School District,"Cook, IL","$649,000 ","$266,000 ",244%,80.65%,59,54,109%,5,9.3
River Forest Sd 90 School District,"Cook, IL","$649,000 ","$266,000 ",244%,106.45%,74,54,137%,20,9.5
Dresden School District,"Grafton, NH","$545,000 ","$225,000 ",242%,154.55%,69,76,91%,-7,9.7
Hanover School District,"Grafton, NH","$545,000 ","$225,000 ",242%,154.55%,69,76,91%,-7,9.7
Wyoming City School District,"Hamilton, OH","$375,000 ","$155,000 ",242%,133.33%,59,58,102%,1,10
New Canaan School District,"Fairfield, CT","$1,895,000 ","$785,000 ",241%,28.57%,93,75,124%,18,9.7
Plymouth-Canton Community School District,"Wayne, MI","$333,000 ","$138,000 ",241%,201.56%,25,41,61%,-16,9
Decatur City School District,"DeKalb, GA","$565,000 ","$235,000 ",241%,144.44%,39,47,83%,-8,8.7
Moorestown Township School District,"Burlington, NJ","$577,000 ","$240,000 ",240%,131.43%,84,74,113%,10,8.9
Milton Area School District,"Northumberland, PA","$155,000 ","$65,000 ",238%,126.92%,83,117,71%,-34,5
Granville Exempted Village School District,"Licking, OH","$418,000 ","$176,000 ",238%,114.10%,61,53,115%,8,9.3
Regional School District 12 School District,"Litchfield, CT","$850,000 ","$359,000 ",237%,52.94%,120,93,129%,27,6
Loma Prieta Joint Union Elementary School District,"Santa Clara, CA","$2,249,000 ","$950,000 ",237%,131.25%,43,32,134%,11,9.1
Los Gatos Union Elementary School District,"Santa Clara, CA","$2,249,000 ","$950,000 ",237%,131.25%,43,32,134%,11,9.1
Rye School District,"Rockingham, NH","$880,000 ","$373,000 ",236%,113.46%,58,52,112%,6,9
Fox Chapel Area School District,"Allegheny, PA","$436,000 ","$185,000 ",236%,88.24%,76,65,117%,11,9.9
Skaneateles Central School District,"Onondaga, NY","$365,000 ","$155,000 ",236%,118.75%,69,54,128%,15,9
Canfield Local School District,"Mahoning, OH","$270,000 ","$115,000 ",235%,121.05%,94,85,111%,9,10
Ottawa Hills Local School District,"Lucas, OH","$242,000 ","$103,000 ",235%,140.54%,79,59,134%,20,9
Needham School District,"Norfolk, MA","$1,275,000 ","$550,000 ",232%,71.70%,54,45,120%,9,9.4
Briarcliff Manor Union Free School District,"Westchester, NY","$1,100,000 ","$475,000 ",232%,148.00%,56,62,90%,-6,9.4
Garrison Union Free School District,"Putnam, NY","$875,000 ","$379,000 ",231%,53.85%,108,73,148%,35,9
Dover-Sherborn School District,"Norfolk, MA","$1,263,000 ","$550,000 ",230%,60.38%,83,45,184%,38,10
Shorewood School District,"Milwaukee, WI","$390,000 ","$170,000 ",229%,120.59%,44,45,98%,-1,9.4
Blue Mountain School District,"Schuylkill, PA","$174,000 ","$76,000 ",229%,157.50%,85,96,89%,-11,8.9
Darien School District,"Fairfield, CT","$1,795,000 ","$785,000 ",229%,47.62%,79,75,105%,4,9.8
Upper Arlington City School District,"Franklin, OH","$432,000 ","$190,000 ",227%,138.20%,38,38,100%,0,9.6
Lake Bluff Esd 65 School District,"Lake, IL","$737,000 ","$325,000 ",227%,95.16%,70,57,123%,13,9.3
Cohasset School District,"Norfolk, MA","$1,246,000 ","$550,000 ",227%,77.36%,82,45,182%,37,9
New Hope-Solebury School District,"Bucks, PA","$770,000 ","$340,000 ",227%,110.20%,97,68,143%,29,9
San Ramon Valley Unified School District,"Contra Costa, CA","$1,222,000 ","$540,000 ",226%,102.00%,37,34,109%,3,9.5
Abington Heights School District,"Lackawanna, PA","$260,000 ","$115,000 ",226%,166.67%,97,95,102%,2,8
Hamilton Southeastern School District,"Hancock, IN","$519,000 ","$230,000 ",226%,102.44%,68,52,131%,16,9.5
Lincoln County School District,"Gaston, NC","$372,000 ","$165,000 ",225%,114.58%,51,68,75%,-17,7.6
Northfield Twp Hsd 225 School District,"Cook, IL","$598,000 ","$266,000 ",225%,77.42%,55,54,102%,1,9.4
Auburn Washburn School District,"Shawnee, KS","$260,000 ","$116,000 ",224%,140.82%,41,44,93%,-3,7.3
Spring Branch Isd School District,"Harris, TX","$625,000 ","$280,000 ",223%,64.29%,59,51,116%,8,6.5
Westport School District,"Fairfield, CT","$1,750,000 ","$785,000 ",223%,123.81%,74,75,99%,-1,9.4
Penn-Harris-Madison School Corporation,"St. Joseph, IN","$215,000 ","$96,000 ",223%,202.13%,41,62,66%,-21,7.9
Muscle Shoals City School District,"Colbert, AL","$200,000 ","$90,000 ",222%,200.00%,100,105,96%,-5,9.9
Tredyffrin-Easttown School District,"Delaware, PA","$510,000 ","$230,000 ",222%,151.22%,52,72,72%,-20,9.8
Pine-Richland Sd,"Allegheny, PA","$409,000 ","$185,000 ",221%,125.00%,64,65,98%,-1,9.7
Pine Ridge Elementary School District,"Fresno, CA","$549,000 ","$249,000 ",220%,21.97%,127,51,248%,76,10
Northbrook Esd 27 School District,"Cook, IL","$585,000 ","$266,000 ",220%,70.97%,54,54,100%,0,9.6
Solon City School District,"Cuyahoga, OH","$349,000 ","$159,000 ",220%,123.26%,65,62,105%,3,10
Beach Haven Borough School District,"Ocean, NJ","$699,000 ","$320,000 ",219%,168.42%,96,92,104%,4,7
Washington Union Elementary School District,"Monterey, CA","$1,175,000 ","$539,000 ",218%,86.27%,72,55,131%,17,7.8
Salado Isd School District,"Bell, TX","$348,000 ","$160,000 ",217%,292.86%,69,64,108%,5,8.3
Oyster Bay-East Norwich Central School District,"Nassau, NY","$1,299,000 ","$599,000 ",217%,80.00%,89,66,135%,23,8
Cheyenne Mountain School District No. 12 In The County Of E,"El Paso, CO","$650,000 ","$300,000 ",217%,86.36%,79,36,219%,43,9.9
Las Virgenes Unified School District,"Ventura, CA","$1,295,000 ","$599,000 ",216%,102.04%,40,47,85%,-7,9.3
Fairview School District,"Erie, PA","$270,000 ","$125,000 ",216%,158.62%,41,48,85%,-7,9
Manchester Essex Regional School District,"Essex, MA","$969,000 ","$450,000 ",215%,73.02%,61,45,134%,16,10
North Shore Sd 112 School District,"Lake, IL","$699,000 ","$325,000 ",215%,70.97%,73,57,127%,16,8.8
Twp Hsd 113 School District,"Lake, IL","$699,000 ","$325,000 ",215%,67.74%,72,57,126%,15,9
Salisbury School District,"Litchfield, CT","$772,000 ","$359,000 ",215%,58.82%,86,93,92%,-7,8
Bemus Point Central School District,"Chautauqua, NY","$279,000 ","$130,000 ",215%,130.77%,96,89,108%,7,8
Elk Rapids School District,"Antrim, MI","$427,000 ","$199,000 ",215%,144.12%,122,95,128%,27,9
Menlo Park City Elementary School District,"San Mateo, CA","$2,998,000 ","$1,398,000 ",214%,100.00%,37,31,119%,6,9.3
Haslett Public School District,"Ingham, MI","$320,000 ","$149,000 ",214%,121.43%,54,52,104%,2,8.9
Montague Area Public School District,"Muskegon, MI","$332,000 ","$155,000 ",214%,97.22%,75,52,143%,23,6.7
Escambia School District,"Santa Rosa, FL","$535,000 ","$250,000 ",214%,146.15%,101,86,117%,15,5.7
Brookeland Isd,"Jasper, TX","$299,000 ","$140,000 ",214%,76.47%,95,121,78%,-26,6
Sylvania City School District,"Lucas, OH","$220,000 ","$103,000 ",214%,178.38%,55,59,93%,-4,8.1
Hermantown Public School District,"St. Louis, MN","$340,000 ","$159,000 ",213%,222.50%,51,62,82%,-11,7
Bexley City School District,"Franklin, OH","$405,000 ","$190,000 ",213%,116.29%,40,38,104%,2,9.1
North Pocono School District,"Lackawanna, PA","$245,000 ","$115,000 ",213%,108.33%,65,95,68%,-30,8
Orchard Park Central School District,"Erie, NY","$340,000 ","$160,000 ",213%,104.00%,51,41,124%,10,8.8
Hingham School District,"Plymouth, MA","$849,000 ","$400,000 ",212%,126.53%,59,51,116%,8,10
Concord School District,"Middlesex, MA","$1,179,000 ","$556,000 ",212%,70.49%,60,37,162%,23,9.9
Lake Superior Public School Dist. School District,"St. Louis, MN","$337,000 ","$159,000 ",212%,45.00%,69,62,111%,7,5.5
Cherokee County School District,"Fulton, GA","$704,000 ","$332,000 ",212%,139.47%,53,51,104%,2,8.1
Chautauqua Lake Central School District,"Chautauqua, NY","$275,000 ","$130,000 ",212%,84.62%,101,89,113%,12,6.5
Mattawan Consolidated School,"Kalamazoo, MI","$370,000 ","$175,000 ",211%,85.42%,52,47,111%,5,9.3
Westlake City School District,"Cuyahoga, OH","$335,000 ","$159,000 ",211%,167.44%,61,62,98%,-1,9.1
Bedford Central School District,"Westchester, NY","$999,000 ","$475,000 ",210%,88.00%,82,62,131%,20,8.1
Chappaqua Central School District,"Westchester, NY","$999,000 ","$475,000 ",210%,100.00%,69,62,111%,7,9
M S D Southwest Allen County School District,"Allen, IN","$346,000 ","$165,000 ",210%,110.34%,44,48,92%,-4,8.1
Catalina Foothills Unified District School District,"Pima, AZ","$440,000 ","$210,000 ",209%,100.00%,82,65,126%,17,9.6
Pittsford Central School District,"Monroe, NY","$350,000 ","$168,000 ",208%,112.73%,39,39,100%,0,9.8
Hinsdale Twp Hsd 86 School District,"DuPage, IL","$727,000 ","$350,000 ",208%,79.49%,72,54,133%,18,9.2
Berkeley Heights School District,"Union, NJ","$663,000 ","$319,000 ",208%,138.57%,43,60,72%,-17,8
Williamston Community School District,"Ingham, MI","$310,000 ","$149,000 ",208%,157.14%,57,52,110%,5,9
Buhler School District,"Reno, KS","$182,000 ","$88,000 ",208%,130.30%,66,59,112%,7,5
Dunlap Cusd 323 School District,"Peoria, IL","$280,000 ","$135,000 ",207%,125.00%,66,67,99%,-1,9.6
Forsyth County School District,"Gwinnett, GA","$539,000 ","$260,000 ",207%,88.24%,38,45,84%,-7,10
Fox Point J2 School District,"Milwaukee, WI","$352,000 ","$170,000 ",207%,111.76%,52,45,114%,7,9.6
Newton School District,"Middlesex, MA","$1,150,000 ","$556,000 ",207%,63.93%,39,37,105%,2,9
Winchester School District,"Middlesex, MA","$1,150,000 ","$556,000 ",207%,100.00%,31,37,84%,-6,9.9
Jamesville-Dewitt Central School District,"Onondaga, NY","$320,000 ","$155,000 ",207%,77.08%,69,54,128%,15,7.1
Northbrook Sd 28 School District,"Cook, IL","$549,000 ","$266,000 ",206%,77.42%,53,54,98%,-1,10
Irvington Union Free School District,"Westchester, NY","$979,000 ","$475,000 ",206%,148.00%,48,62,77%,-14,9.8
Southborough School District,"Worcester, MA","$655,000 ","$318,000 ",206%,103.70%,60,55,109%,5,10
Oakwood City School District,"Montgomery, OH","$278,000 ","$135,000 ",206%,145.45%,62,61,102%,1,9.9
Graford Isd School District,"Palo Pinto, TX","$349,000 ","$170,000 ",205%,69.57%,131,113,116%,18,5
School District Of The City Of Birmingham,"Oakland, MI","$749,000 ","$365,000 ",205%,86.00%,39,38,103%,1,9.7
Romeo Community School District,"Macomb, MI","$399,000 ","$195,000 ",205%,76.79%,61,40,153%,21,7.1
Roslyn Union Free School District,"Nassau, NY","$1,224,000 ","$599,000 ",204%,72.50%,68,66,102%,2,8
Franklin Regional School District,"Westmoreland, PA","$275,000 ","$135,000 ",204%,144.12%,64,69,93%,-5,9.9
Portsmouth School District,"Rockingham, NH","$759,000 ","$372,000 ",204%,136.54%,55,52,106%,3,7
Indian Prairie Cusd 204 School District,"Will, IL","$470,000 ","$231,000 ",204%,76.60%,52,54,96%,-2,9.7
Martin School District,"Palm Beach, FL","$650,000 ","$320,000 ",203%,166.67%,86,83,104%,3,6.7
Jackson Local School District,"Stark, OH","$335,000 ","$165,000 ",203%,88.89%,53,42,126%,11,9.9
Alta Loma Elementary School District,"San Bernardino, CA","$598,000 ","$295,000 ",203%,243.75%,50,53,94%,-3,8.1
Encinitas Union Elementary School District,"San Diego, CA","$1,395,000 ","$690,000 ",202%,123.39%,38,37,103%,1,8.9
Port Washington Union Free School District,"Nassau, NY","$1,210,000 ","$599,000 ",202%,105.00%,60,66,91%,-6,8.9
Pass Christian Public School Dist School District,"Harrison, MS","$327,000 ","$163,000 ",201%,140.38%,107,89,120%,18,9
Concord-Carlisle School District,"Middlesex, MA","$1,115,000 ","$556,000 ",201%,70.49%,60,37,162%,23,9.9
Southern Lehigh School District,"Lehigh, PA","$385,000 ","$192,000 ",200%,111.54%,80,61,131%,19,8
Dorset School District,"Bennington, VT","$479,000 ","$239,000 ",200%,89.47%,163,129,126%,34,8
Cooperstown Central School District,"Otsego, NY","$350,000 ","$174,000 ",200%,118.18%,120,93,129%,27,8
Vestavia Hills City School District,"Jefferson, AL","$359,000 ","$180,000 ",200%,148.15%,61,69,88%,-8,10
Edwardsville Cusd 7 School District,"Madison, IL","$250,000 ","$125,000 ",200%,157.50%,68,68,100%,0,9
Bellbrook-Sugarcreek Local School District,"Greene, OH","$290,000 ","$145,000 ",200%,173.17%,55,62,89%,-7,9.7
Ccsd 180 School District,"DuPage, IL","$700,000 ","$350,000 ",200%,61.54%,82,54,152%,28,5.8
New York City Geographic District #13 School District,"Kings, NY","$1,450,000 ","$725,000 ",200%,40.00%,80,90,89%,-10,3.7
Minnetonka Public School District,"Hennepin, MN","$600,000 ","$300,000 ",200%,125.00%,51,44,116%,7,9.8
Grapevine-Colleyville Isd School District,"Tarrant, TX","$499,000 ","$250,000 ",200%,126.76%,39,38,103%,1,8.5
Shikellamy School District,"Northumberland, PA","$130,000 ","$65,000 ",200%,159.62%,84,117,72%,-33,5
Niskayuna Central School District,"Schenectady, NY","$279,000 ","$140,000 ",199%,183.33%,63,81,78%,-18,8.7
Jamestown School District,"Newport, RI","$1,045,000 ","$525,000 ",199%,98.53%,64,69,93%,-5,9
Central Sd 51 School District,"Tazewell, IL","$269,000 ","$135,000 ",199%,120.51%,69,60,115%,9,8.9
Avoca Sd 37 School District,"Cook, IL","$529,000 ","$266,000 ",199%,112.90%,62,54,115%,8,10
Homewood City School District,"Jefferson, AL","$357,000 ","$180,000 ",199%,231.48%,60,69,87%,-9,7.8
Upland Unified School District,"San Bernardino, CA","$585,000 ","$295,000 ",198%,237.50%,41,53,77%,-12,7.6
Northbrook/Glenview Sd 30 School District,"Cook, IL","$527,000 ","$266,000 ",198%,75.81%,48,54,89%,-6,10
Lewisville Isd,"Collin, TX","$749,000 ","$379,000 ",198%,105.70%,48,37,130%,11,7.8
Brookline School District,"Norfolk, MA","$1,085,000 ","$550,000 ",197%,77.36%,40,45,89%,-5,7.5
Saranac Lake Central School District,"Franklin, NY","$274,000 ","$139,000 ",197%,145.45%,166,219,76%,-53,6
Weehawken Township School District,"Hudson, NJ","$729,000 ","$370,000 ",197%,73.08%,62,57,109%,5,7
Manatee School District,"Sarasota, FL","$649,000 ","$330,000 ",197%,96.43%,134,87,154%,47,6.3
Tenafly School District,"Bergen, NJ","$1,198,000 ","$609,000 ",197%,94.74%,75,61,123%,14,9.4
